track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage,lifecycle_stage,retention_stability_index,entry_age_days,content_maturity,retention_segment,entry_strength
vampire | olivia rodrigo,vampire,Olivia Rodrigo,2024-07-02,2024-07-02,48,48,48,1,85,85,85,single,1,True,3.6620666666666666,1,1,1.0,100.0,2024-07-02,48,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,45,Developing,Short Retention,Weak Entry
tanta droga | eladio carrion,Tanta Droga,Eladio Carrion,2025-01-21,2025-01-21,27,27,27,1,68,68,68,album,17,True,4.147966666666667,1,1,1.0,100.0,2025-01-21,27,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,248,Established,Short Retention,Weak Entry
rang€ rov€r | cruz cafuné,rang€ rov€r,Cruz Cafuné,2025-07-21,2025-07-21,47,47,47,1,53,53,53,single,6,True,1.95355,1,1,1.0,100.0,2025-07-21,47,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,429,Established,Short Retention,Weak Entry
ritual | myke towers,RITUAL,Myke Towers,2024-11-25,2024-11-25,48,48,48,1,0,0,0,album,23,True,2.5738666666666665,1,1,1.0,100.0,2024-11-25,48,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,191,Established,Short Retention,Weak Entry
yankee 150 | yandel & feid & daddy yankee,Yankee 150,Yandel & Feid & Daddy Yankee,2024-06-18,2024-06-18,46,46,46,1,68,68,68,single,1,True,4.04445,1,1,1.0,100.0,2024-06-18,46,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,31,Developing,Short Retention,Weak Entry
volver | tainy,VOLVER,Tainy,2024-07-02,2024-07-02,49,49,49,1,69,69,69,album,19,True,3.0967666666666664,1,1,1.0,100.0,2024-07-02,49,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,45,Developing,Short Retention,Weak Entry
ya es navidad popurrí: ya es navidad- zúmbale a la pandereta - ya vienen los reyes magos - arre borriquito - ya es navidad | raya real,Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,Raya Real,2024-12-25,2024-12-25,34,34,34,1,50,50,50,album,9,False,4.369066666666667,1,1,1.0,100.0,2024-12-25,34,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,221,Established,Short Retention,Weak Entry
rapeadita love | rels b,Rapeadita LOVE,Rels B,2025-04-28,2025-04-28,44,44,44,1,65,65,65,album,13,True,2.34065,1,1,1.0,100.0,2025-04-28,44,0,0.0,0.0,0,0,Stable,0,0.0,New Entry,100.0,345,Established,Short Retention,Weak Entry
sexo desenfrenado | myke towers,SEXO DESENFRENADO,Myke Towers,2025-08-24,2025-08-24,45,45,45,1,0,0,0,album,20,True,4.056,1,1,1.0,100.0,2025-08-24,45,0,0.0,0.0,0,0,Stable,0,,New Entry,100.0,463,Established,Short Retention,Weak Entry
privilegios | feid,PRIVILEGIOS,Feid,2024-09-30,2024-10-01,46,46,46,2,0,0,0,album,15,False,3.0973333333333333,2,2,1.0,100.0,2024-09-30,46,0,-7.688831126888455e-15,0.0,0,0,Stable,0,,New Entry,100.0,135,Mature,Short Retention,Weak Entry
