song,artist,days_on_playlist,best_position,entry_position,time_to_peak_days,retention_stability_index
No Estuviste En Lo Malo - REMIX,Morad & Beny Jr & DELLAFUENTE,117,12,12,0,84.84
BBY BOO - REMIX,iZaak & Jhayco & Anuel AA,116,5,32,19,82.94
Cuando Te Vi | CROSSOVER #5,Big One & Maria Becerra & Trueno,116,11,43,40,80.51
YOTULOKO,Omar Montes & Rels B,115,22,36,13,84.9
DESATAAA,Ovy On The Drums & Myke Towers & SAIKO,115,6,9,4,77.32
No Te Quieren Conmigo,Gaby Music & Lunay & Luar La L,112,4,50,21,86.68
Chulo pt.2,Bad Gyal & Tokischa & Young Miko,112,22,25,4,67.36
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56",Bizarrap & Rauw Alejandro,112,1,1,0,68.7
YO LO SOÑÉ,SAIKO,111,1,3,2,66.98
HAY LUPITA,Lomiiel,110,2,32,23,67.6
A 300,JC Reyes & Pedro Calderon & Blacknife,109,11,16,8,86.55
Lollipop,Darell,108,1,43,19,67.06
LA RANGER (feat. Myke Towers),The Academy: Segunda Misión & Justin Quiles & Lenny Tavárez,108,3,7,11,71.64
Tu Silueta,Diegote,107,5,15,17,73.42
Eva Longoria,Ozuna,105,8,49,17,56.42
Vacile,Yan Block,105,16,36,63,98.72
La Bebe - Remix,Yng Lvcas & Peso Pluma,104,10,13,14,73.67
M.A.I,Milo j,104,4,40,14,75.49
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap & Young Miko,104,1,1,0,63.73
MERCHO,LiL CaKe & Migrantes,104,21,25,11,84.24
Si La Calle Llama - Remix,Eladio Carrion,104,20,22,1,85.86
ZORRA,Nebulossa,103,8,8,0,6.74
Beautiful Things,Benson Boone,103,17,47,22,74.14
EL PANTALON - RUMBAS,Omar Montes,103,2,8,14,68.58
CORAZÓN VACÍO,Maria Becerra,101,19,40,14,84.65
UWAIE,Kapo,100,2,27,9,83.82
No_Se_Ve.mp3,Emilia,98,32,39,1,67.64
TAMBIÉN,Myke Towers,96,5,41,43,89.99
SI NO ES CONTIGO,Cris Mj,95,31,44,52,88.46
MONACO,Bad Bunny,91,1,1,0,49.22
Guay,Ozuna & Bad Gyal,91,7,22,6,75.6
Suano,NTG & Amenazzy,86,6,34,17,64.78
SE ME OLVIDA,Maisak & Feid,85,11,48,8,74.32
ADIVINO,Myke Towers,85,10,10,0,81.26
Como Camarón,Estopa,85,32,49,35,39.34
Die With A Smile,Lady Gaga & Bruno Mars,85,29,50,76,42.92
Me has invitado a bailar,Dani Fernández,85,15,47,57,89.26
OTRA NOCHE (feat. Darell),Myke Towers,85,11,12,14,80.32
Ella Baila Sola,Eslabon Armado,84,9,23,16,73.3
CARITA TRISTE,Ana Mena & Emilia,84,9,14,6,70.54
Alucin,Eugenio Esquivel & Grupo Marca Registrada & Sebastian Esquivel,83,21,48,68,32.22
Hey Lil Mama,Eladio Carrion,83,8,9,4,62.09
Niña Bonita,Feid & Sean Paul,83,13,14,1,79.57
UNA BACHATA,Lola Indigo,83,8,8,0,59.33
