song,artist,entry_position,best_position,rank_improvement,days_on_playlist
Duro De Verdad pt.2,Los Sufridos,39,39,0,1
El Destello,Juanjo Bona & Martin Urrutia,36,36,0,1
EMRATA,Myke Towers,46,46,0,1
Escriurem,Chiara Oliver & Martin Urrutia,47,47,0,1
Figo,DELLAFUENTE & Morad,44,44,0,1
"FLOWHOT (feat. Arcángel, De La Ghetto, Randy)",The Academy: Segunda Misión & Sech & Dalex,32,32,0,1
Fosforito,DELLAFUENTE,46,46,0,1
FRÍO,Myke Towers,36,36,0,1
"Fé, Cojones y Paciencia",Eladio Carrion,38,38,0,1
HABLAME CLARO,Yandel,47,47,0,1
Hala Madrid ...y nada más,Real Madrid,43,43,0,1
Hardaway,Duki,35,35,0,1
Headshot,Anuel AA,29,29,0,1
Heavy Is the Crown,Linkin Park,49,49,0,1
Heavyweight,Eladio Carrion,49,49,0,1
I Can Do It With a Broken Heart,Taylor Swift,50,50,0,1
IL Capo,Rauw Alejandro,38,38,0,1
La Gata Bajo La Lluvia,Naiara,46,46,0,1
la noia,Angelina Mango,47,47,0,1
La Torre Picasso,Arde Bogotá,46,46,0,1
LA VUELTA,Feid,48,48,0,1
LATTE (feat. Maria Becerra),The Academy: Segunda Misión & Sech & Dalex,43,43,0,1
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,33,33,0,1
Like I Can (feat. Aitana),Sam Smith & Aitana,42,42,0,1
Lo que no ves de mí,Juanjo Bona,38,38,0,1
Luchas Mentales,Eladio Carrion,43,43,0,1
Ma Meilleure Ennemie (from the series Arcane League of Legends),Stromae & Pomme & Arcane,38,38,0,1
Mama's Boy,Eladio Carrion,34,34,0,1
Mamasota,Manuel Turizo & Yandel,50,50,0,1
MEJOR ASÍ,Myke Towers,37,37,0,1
Mencionar,Eladio Carrion,42,42,0,1
Mi Cuarto,Tiago PZK & Rels B,46,46,0,1
Mil Mujeres,Rauw Alejandro,36,36,0,1
m€ntiras,Cruz Cafuné,43,43,0,1
OBVIO,Myke Towers,25,25,0,1
OTRA OPORTUNIDAD,Myke Towers,25,25,0,1
OTRO ROUND,Myke Towers,50,50,0,1
Oye BB,Omar Montes & Nicky Jam,43,43,0,1
PA' LA VUELTA,Eladio Carrion & Morad,49,49,0,1
Pasaporte,Rauw Alejandro,43,43,0,1
Pasaporte,Rauw Alejandro & Mr. Naisgai,49,49,0,1
Probemas Mentales,JZAEB & Eix,48,48,0,1
QUEVEDO #49 AFTER HOUR THE MIXTAPE,DJ Saot ST,48,48,0,1
Quién es Dei V?,Dei V,50,50,0,1
rang€ rov€r,Cruz Cafuné,47,47,0,1
Rapeadita LOVE,Rels B,44,44,0,1
RITUAL,Myke Towers,48,48,0,1
RoCKSTAR 2.0,Duki & Jhayco,14,14,0,1
SEXO DESENFRENADO,Myke Towers,45,45,0,1
"SI SI SI SI (feat. Eladio Carrion, Bryant Myers, Dei V)",The Academy: Segunda Misión,16,16,0,1
Sigo Enamorau',Eladio Carrion,17,17,0,1
Sonrisa,Eladio Carrion,16,16,0,1
Tanta Droga,Eladio Carrion,27,27,0,1
Timeless (with Playboi Carti),The Weeknd & Playboi Carti,50,50,0,1
Todo Lit,Eladio Carrion,23,23,0,1
Tranquila Baby,Eladio Carrion,32,32,0,1
Tu Ritmo,Eladio Carrion,21,21,0,1
vampire,Olivia Rodrigo,48,48,0,1
VOLVER,Tainy,49,49,0,1
Ya es Navidad Popurrí: Ya es Navidad- Zúmbale a la pandereta - Ya vienen los Reyes Magos - Arre Borriquito - Ya es Navidad,Raya Real,34,34,0,1
Yankee 150,Yandel & Feid & Daddy Yankee,46,46,0,1
