track_key,song,artist,entry_date,exit_date,entry_position,best_position,exit_position,observations,entry_popularity,peak_popularity,exit_popularity,album_type,total_tracks,is_explicit,duration_min,calendar_days,days_on_playlist,continuity,continuity_percentage,peak_date,peak_position_check,time_to_peak_days,rank_slope,popularity_slope,rank_improvement,rank_change_entry_to_exit,rank_movement,popularity_change,popularity_growth_percentage
0 confianza | rvfv,0 CONFIANZA,Rvfv,2025-06-02,2025-06-23,40,23,42,20,35,62,62,album,20,False,3.625,22,22,0.9090909090909091,90.9090909090909,2025-06-07,23,5,0.38872180451127764,0.5842105263157888,17,2,Stable,27,77.14285714285715
"1 de enero, puntacana | rels b","1 de Enero, Puntacana",Rels B,2025-04-28,2025-04-28,45,45,45,1,65,65,65,album,13,False,1.5833333333333333,1,1,1.0,100.0,2025-04-28,45,0,0.0,0.0,0,0,Stable,0,0.0
1000cosas | lola indigo & manuel turizo,1000COSAS,Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,3,3,44,245,65,81,72,single,1,False,3.9913666666666665,249,249,0.9839357429718876,98.39357429718876,2025-03-10,3,0,0.12100384336061488,-0.027497572399611744,0,41,Stable,7,10.76923076923077
100xciento | foreign teck & eladio carrion & de la ghetto,100xCiento,Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,42,13,37,11,72,75,75,single,1,True,3.661366666666667,16,16,0.6875,68.75,2025-05-11,13,11,-0.9636363636363628,0.34545454545454457,29,-5,Improving,3,4.166666666666666
14 febreros | quevedo,14 FEBREROS,Quevedo,2025-11-24,2025-11-27,9,9,16,4,63,68,68,album,18,True,2.8737,4,4,1.0,100.0,2025-11-24,9,0,2.4000000000000012,1.699999999999998,0,7,Declining,5,7.936507936507936
2am | sebastian yatra & bad gyal,2AM,Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,41,31,31,4,55,64,64,single,1,False,3.2737666666666665,4,4,1.0,100.0,2025-11-27,31,3,-3.8,2.999999999999999,10,-10,Improving,9,16.363636363636363
2xll | jc reyes & yovngchimi & slayter,2xLL,JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,50,35,47,26,61,71,71,single,1,False,2.9818166666666666,29,29,0.896551724137931,89.65517241379311,2025-07-23,35,11,0.1688888888888887,0.30940170940170975,15,-3,Stable,10,16.39344262295082
3 caídas | saiko,3 CAÍDAS,SAIKO,2025-04-28,2025-05-05,13,13,47,8,61,69,69,album,16,False,4.19275,8,8,1.0,100.0,2025-04-28,13,0,4.714285714285713,0.9761904761904744,0,34,Declining,8,13.114754098360656
4 prez | cruz cafuné,4 PREZ,Cruz Cafuné,2024-05-28,2024-05-29,35,35,46,2,53,56,56,album,23,True,2.4914,2,2,1.0,100.0,2024-05-28,35,0,10.999999999999995,2.9999999999999916,0,11,Declining,3,5.660377358490567
4to 23 | aitana,4TO 23,Aitana,2025-07-07,2025-07-16,17,17,50,9,58,69,69,single,1,False,2.8053333333333335,10,10,0.9,90.0,2025-07-07,17,0,4.1499999999999995,1.4499999999999997,0,33,Declining,11,18.96551724137931
50 palos | feid,50 PALOS,Feid,2024-12-02,2024-12-02,38,38,38,1,0,0,0,album,10,True,2.787333333333333,1,1,1.0,100.0,2024-12-02,38,0,0.0,0.0,0,0,Stable,0,
57 | karol g & feid & dfzm,57,KAROL G & Feid & DFZM,2025-11-10,2025-11-27,8,8,41,18,69,85,85,single,1,True,4.968833333333333,18,18,1.0,100.0,2025-11-10,8,0,1.7966976264189882,0.9246646026831787,0,33,Declining,16,23.18840579710145
58 | jhayco,58,JHAYCO,2025-09-08,2025-09-18,35,35,45,8,56,68,68,album,29,False,4.7931,11,11,0.7272727272727273,72.72727272727273,2025-09-08,35,0,0.9047619047619013,1.3809523809523776,0,10,Declining,12,21.428571428571427
69 | nicky jam & feid,69,Nicky Jam & Feid,2024-05-21,2024-06-30,39,22,49,41,67,87,87,single,1,True,3.698916666666667,41,41,1.0,100.0,2024-05-31,22,10,0.4402439024390244,0.3257839721254356,17,10,Stable,20,29.850746268656714
a 300 | jc reyes & pedro calderon,A 300,JC Reyes & Pedro Calderon,2024-08-06,2025-01-05,50,15,15,148,73,78,77,single,1,False,2.820133333333333,153,153,0.9673202614379085,96.73202614379085,2025-01-05,15,152,-0.14125980520994896,0.016186231430718387,35,-35,Stable,4,5.47945205479452
a 300 | jc reyes & pedro calderon & blacknife,A 300,JC Reyes & Pedro Calderon & Blacknife,2025-01-06,2025-04-24,16,11,32,107,77,79,76,single,1,False,2.820133333333333,109,109,0.981651376146789,98.1651376146789,2025-01-14,11,8,0.13414251846627084,-0.04200709261545062,5,16,Stable,-1,-1.2987012987012987
a new star (2 0 2 4) | rels b,a new star (2 0 2 4),Rels B,2025-05-09,2025-05-30,48,32,50,16,74,76,76,album,13,True,2.3705833333333333,22,22,0.7272727272727273,72.72727272727273,2025-05-16,32,7,0.25147058823529417,0.15000000000000208,16,2,Stable,2,2.7027027027027026
acho pr | bad bunny,ACHO PR,Bad Bunny,2024-10-14,2024-10-20,15,15,48,7,0,85,85,album,22,True,5.994116666666667,7,7,1.0,100.0,2024-10-14,15,0,5.785714285714286,9.750000000000002,0,33,Declining,85,
acróstico | shakira,Acróstico,Shakira,2024-05-18,2024-07-09,3,1,50,53,81,92,92,single,1,False,2.846416666666667,53,53,1.0,100.0,2024-05-19,1,1,0.9686340912756003,0.10748266408643904,2,47,Declining,11,13.580246913580247
