song,artist,entry_date,exit_date,days_on_playlist,observations,continuity_percentage,best_position,lifecycle_stage
COMPETENCIA,Myke Towers,2025-08-24,2025-08-25,2,2,100.0,19,New Entry
BIRDS OF A FEATHER,Billie Eilish,2025-06-12,2025-06-13,2,2,100.0,49,New Entry
UN DESEO,Mora,2024-08-30,2024-08-31,2,2,100.0,20,New Entry
Fecha - Intro Extended,Renzo Pianciola,2025-04-19,2025-04-20,2,2,100.0,46,New Entry
RITMO DE MEDALLO,Feid,2024-09-30,2024-10-01,2,2,100.0,37,New Entry
PRIVILEGIOS,Feid,2024-09-30,2024-10-01,2,2,100.0,46,New Entry
"Ptazeta: Bzrp Music Sessions, Vol. 45",Paul Thin & RUSLANA,2025-01-18,2025-01-19,2,2,100.0,42,New Entry
Shars 2023,Al Safir,2024-11-30,2024-12-01,2,2,100.0,21,New Entry
SE TE NOTA (feat. Peso Pluma),Myke Towers,2025-08-24,2025-08-25,2,2,100.0,27,New Entry
SPANISH TETEO,Rvfv & Rels B & Omar Montes,2024-09-10,2024-09-11,2,2,100.0,50,New Entry
Feliz Navidad,Saiko,2024-12-19,2024-12-20,2,2,100.0,36,New Entry
FERXXO EDITION,Feid,2024-09-30,2024-10-01,2,2,100.0,43,New Entry
FINALES DE AGOSTO,SAIKO,2025-04-28,2025-04-29,2,2,100.0,40,New Entry
Sleigh Ride,The Ronettes,2024-12-25,2024-12-27,3,3,100.0,28,New Entry
Sofi - Remix,Samueliyo Baby & KEVIN ROLDAN,2024-12-12,2024-12-14,3,3,100.0,22,New Entry
Mis Tías,Juanjo Bona,2025-07-21,2025-07-23,3,2,66.66666666666666,44,New Entry
miamor,Aitana,2024-09-24,2024-09-26,3,3,100.0,34,New Entry
Jingle Bell Rock,Bobby Helms,2024-12-25,2024-12-27,3,3,100.0,10,New Entry
Espectacular,Sky Rompiendo & Rauw Alejandro,2025-04-25,2025-04-27,3,2,66.66666666666666,49,New Entry
AQYNE,Aitana,2024-09-27,2024-09-29,3,3,100.0,40,New Entry
Ayer,DELLAFUENTE,2025-06-16,2025-06-18,3,2,66.66666666666666,37,New Entry
Cha Cha Cha,Käärijä,2024-05-18,2024-05-20,3,3,100.0,37,New Entry
MI DROGA,Myke Towers,2024-05-18,2024-05-20,3,3,100.0,46,New Entry
Holly Jolly Christmas,Michael Bublé,2024-12-25,2024-12-27,3,3,100.0,24,New Entry
La Vida Sin Ti,Rels B & Lia Kali,2025-04-25,2025-04-27,3,3,100.0,15,New Entry
It's Beginning to Look a Lot like Christmas,Michael Bublé,2024-12-25,2024-12-27,3,3,100.0,16,New Entry
Historias Por Contar,Operación Triunfo 2023,2025-02-22,2025-02-24,3,3,100.0,28,New Entry
It's the Most Wonderful Time of the Year,Andy Williams,2024-12-25,2024-12-27,3,3,100.0,12,New Entry
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,2024-12-25,2024-12-27,3,3,100.0,15,New Entry
Paz,Morad,2024-05-18,2024-05-20,3,3,100.0,44,New Entry
Feliz Navidad,José Feliciano,2024-12-25,2024-12-27,3,3,100.0,5,New Entry
VAGABUNDO,Sebastian Yatra,2024-09-24,2024-09-26,3,3,100.0,14,New Entry
Underneath the Tree,Kelly Clarkson,2024-12-25,2024-12-27,3,3,100.0,22,New Entry
Santa Tell Me,Ariana Grande,2024-12-25,2024-12-27,3,3,100.0,17,New Entry
Problemas Mentales,JZAEB & Eix,2025-03-20,2025-03-22,3,2,66.66666666666666,22,New Entry
Snowman,Sia,2024-12-25,2024-12-27,3,3,100.0,27,New Entry
Solita y SueltAAA,Rels B,2024-07-23,2024-07-25,3,3,100.0,49,New Entry
LOS DÍAS CONTADOS,Quevedo,2025-11-24,2025-11-27,4,4,100.0,4,New Entry
NOEMÚ,Quevedo,2025-11-24,2025-11-27,4,4,100.0,15,New Entry
LA 125,Quevedo,2025-11-24,2025-11-27,4,4,100.0,10,New Entry
IGUALES,Quevedo,2025-11-24,2025-11-27,4,4,100.0,3,New Entry
GRAN VÍA,Quevedo,2025-11-24,2025-11-27,4,4,100.0,1,New Entry
